accX,accY,accZ,gyroX,gyroY,gyroZ,label
213.2,115.41,978.62,19530.0,-9170.0,34020.0,waving
196.79,129.62,985.39,-13650.0,10360.0,65030.0,waving
171.53,130.17,988.93,8330.0,8890.0,63700.0,waving
147.01,120.17,988.81,-1400.0,10360.0,42140.0,waving
132.92,107.67,988.57,-4690.0,14910.0,24150.0,waving
131.7,88.88,984.91,-21840.0,22330.0,-11200.0,waving
144.02,69.3,982.59,15050.0,10710.0,-45500.0,waving
168.6,61.06,985.76,5110.0,-8820.0,-25550.0,waving
190.69,58.5,991.98,-1540.0,-21630.0,-1190.0,waving
200.39,52.95,995.34,-5600.0,-15960.0,-2030.0,waving
196.91,48.25,993.69,-28210.0,-7770.0,-15260.0,waving
178.0,53.99,992.17,-560.0,15400.0,3920.0,waving
148.54,68.2,993.87,-27580.0,27090.0,19810.0,waving
123.4,76.74,991.62,-770.0,18200.0,55300.0,waving
108.95,70.39,987.71,-35840.0,50890.0,82180.0,waving
98.45,49.53,986.86,-14140.0,69650.0,56210.0,waving
90.89,23.61,988.93,71960.0,2030.0,-1120.0,waving
85.34,1.46,992.9,-22680.0,-20440.0,-73080.0,waving
82.29,-12.87,990.34,-39340.0,-20440.0,-94640.0,waving
83.63,-21.66,986.67,-75670.0,-8190.0,-69160.0,waving
83.45,-28.79,986.8,-175140.0,-20020.0,-24780.0,waving
83.81,-31.84,989.05,-36260.0,-5040.0,-4480.0,waving
83.75,-30.01,989.6,269570.0,-10010.0,-47040.0,waving
82.47,-22.33,993.93,326130.0,18200.0,-47600.0,waving
80.28,-0.49,1001.25,174650.0,32200.0,24430.0,waving
74.3,33.18,1000.95,114660.0,44170.0,35490.0,waving
67.59,66.43,993.63,143290.0,29400.0,27650.0,waving
61.85,97.84,984.66,59150.0,19670.0,28420.0,waving
58.99,130.42,976.98,-47390.0,10290.0,28490.0,waving
57.22,160.06,971.97,-304360.0,52220.0,20510.0,waving
53.01,173.73,970.69,-287770.0,53130.0,-16520.0,waving
44.47,166.59,969.41,-269360.0,21770.0,-42630.0,waving
35.62,142.19,966.73,-312900.0,1890.0,-29610.0,waving
27.69,102.36,953.19,-297150.0,-34160.0,10640.0,waving
18.12,49.35,923.36,-269080.0,-29680.0,28140.0,waving
6.34,-10.8,882.24,-225330.0,-60830.0,35770.0,waving
-1.28,-68.38,836.86,-5040.0,14280.0,-40950.0,waving
-2.75,-122.85,791.35,101710.0,35560.0,-80150.0,waving
-0.24,-177.21,751.95,63000.0,22050.0,-56490.0,waving
7.81,-226.8,720.96,45360.0,14140.0,-39690.0,waving
19.52,-268.71,695.22,104230.0,15190.0,-42140.0,waving
33.98,-300.18,674.84,224630.0,8260.0,-57610.0,waving
49.23,-314.39,669.66,432390.0,43960.0,-86520.0,waving
65.82,-306.83,685.58,304920.0,19950.0,-6510.0,waving
80.76,-279.08,709.43,203630.0,14980.0,28210.0,waving
90.71,-239.43,732.18,100170.0,26950.0,51590.0,waving
97.05,-199.1,750.79,19040.0,25410.0,52780.0,waving
99.06,-166.59,765.85,-6790.0,27090.0,54110.0,waving
98.58,-143.78,777.93,-81340.0,20860.0,23450.0,waving
97.72,-131.88,787.88,-102480.0,22400.0,490.0,waving
97.23,-126.33,795.56,-49000.0,10640.0,-16170.0,waving
97.23,-120.23,802.88,-31360.0,4340.0,-22750.0,waving
97.9,-113.09,810.69,-27510.0,2940.0,-17990.0,waving
98.58,-104.74,817.34,-770.0,-5040.0,-29470.0,waving
101.02,-96.32,827.04,16100.0,-41510.0,-19320.0,waving
106.51,-88.27,843.51,-8470.0,-19110.0,-12180.0,waving
113.22,-78.26,860.65,20580.0,-7420.0,-7070.0,waving
118.34,-67.1,872.54,13440.0,13860.0,-14490.0,waving
123.4,-55.51,882.61,14280.0,16030.0,-15120.0,waving
127.19,-45.99,891.94,-4900.0,23240.0,-11830.0,waving
128.89,-37.82,898.84,-12600.0,19880.0,-5670.0,waving
129.2,-29.83,904.45,-17780.0,17430.0,2450.0,waving
127.49,-24.34,909.82,-20090.0,34020.0,-490.0,waving
123.16,-19.03,914.51,3850.0,46900.0,-1050.0,waving
116.75,-14.52,922.14,-6090.0,42910.0,-3850.0,waving
108.21,-12.08,929.21,-29540.0,13860.0,-1680.0,waving
98.21,-10.0,933.91,-4620.0,-8470.0,-630.0,waving
