@relation imu_motion_train_raw

@attribute gyro_x numeric
@attribute gyro_y numeric
@attribute gyro_z numeric
@attribute mag_x numeric
@attribute mag_y numeric
@attribute mag_z numeric
@attribute acc_x numeric
@attribute acc_y numeric
@attribute acc_z numeric
@attribute label {cross,rotate_wrist,up_down}

@data
-34.825000,28.262000,-46.270000,6.000000,-38.100000,-61.800000,-0.569000,0.492000,0.808000,cross
-32.462000,27.370000,-50.592000,5.500000,-37.900000,-62.200000,-0.544000,0.425000,0.786000,cross
-29.715000,28.822000,-51.030000,5.500000,-37.600000,-62.400000,-0.551000,0.426000,0.788000,cross
-28.245000,32.760000,-50.732000,5.400000,-38.200000,-63.600000,-0.558000,0.424000,0.821000,cross
-26.985000,38.010000,-49.472000,4.800000,-36.900000,-62.800000,-0.571000,0.416000,0.823000,cross
-26.005000,42.945000,-51.275000,3.600000,-37.600000,-63.400000,-0.600000,0.466000,0.836000,cross
-26.512000,48.457000,-56.647000,3.100000,-37.900000,-64.200000,-0.602000,0.470000,0.878000,cross
-28.262000,54.617000,-60.987000,3.000000,-38.200000,-64.200000,-0.567000,0.403000,0.908000,cross
-36.067000,67.357000,-62.037000,2.200000,-37.600000,-64.300000,-0.527000,0.334000,0.851000,cross
-38.237000,72.362000,-62.370000,0.000000,-37.900000,-64.600000,-0.537000,0.318000,0.792000,cross
-38.990000,75.862000,-63.157000,-0.900000,-37.200000,-65.500000,-0.535000,0.304000,0.726000,cross
-39.900000,76.755000,-63.280000,-1.500000,-36.600000,-64.200000,-0.509000,0.282000,0.664000,cross
-40.180000,74.830000,-62.422000,-3.000000,-37.900000,-65.400000,-0.488000,0.253000,0.597000,cross
-40.792000,70.805000,-60.375000,-2.800000,-36.400000,-65.800000,-0.457000,0.194000,0.551000,cross
-42.857000,65.152000,-56.560000,-3.900000,-37.000000,-64.800000,-0.457000,0.166000,0.508000,cross
-49.192000,58.362000,-58.817000,-4.300000,-36.900000,-66.100000,-0.540000,0.209000,0.578000,cross
-47.460000,63.805000,-61.460000,-4.800000,-36.100000,-65.100000,-0.563000,0.119000,0.624000,cross
-38.640000,72.642000,-59.115000,-6.100000,-35.100000,-65.400000,-0.567000,0.034000,0.600000,cross
-27.037000,80.272000,-53.480000,-6.300000,-36.300000,-65.100000,-0.567000,0.007000,0.515000,cross
-15.750000,84.315000,-48.737000,-8.400000,-36.600000,-65.100000,-0.552000,0.016000,0.417000,cross
-7.962000,84.402000,-45.377000,-8.500000,-36.100000,-65.100000,-0.518000,-0.029000,0.334000,cross
-3.640000,82.092000,-40.425000,-9.000000,-36.000000,-64.000000,-0.493000,-0.077000,0.263000,cross
-6.335000,69.195000,-37.397000,-10.200000,-35.500000,-63.700000,-0.494000,-0.041000,0.118000,cross
-11.707000,61.512000,-40.617000,-10.800000,-35.200000,-64.200000,-0.482000,-0.046000,0.130000,cross
-16.030000,56.420000,-44.502000,-10.800000,-36.000000,-63.300000,-0.479000,-0.077000,0.159000,cross
-18.025000,54.635000,-46.357000,-11.700000,-35.500000,-63.000000,-0.486000,-0.124000,0.181000,cross
-18.480000,55.002000,-45.185000,-12.300000,-35.400000,-63.100000,-0.505000,-0.161000,0.174000,cross
-16.800000,55.107000,-43.645000,-12.100000,-35.100000,-63.300000,-0.528000,-0.158000,0.136000,cross
-14.472000,52.780000,-43.470000,-13.000000,-33.900000,-63.900000,-0.545000,-0.152000,0.090000,cross
-7.787000,44.117000,-39.917000,-12.900000,-34.300000,-64.000000,-0.530000,-0.246000,0.078000,cross
-1.295000,39.935000,-33.127000,-13.500000,-33.700000,-62.700000,-0.524000,-0.289000,0.081000,cross
7.017000,36.995000,-25.410000,-14.200000,-34.600000,-62.500000,-0.523000,-0.316000,0.098000,cross
14.840000,35.437000,-18.147000,-14.100000,-34.200000,-61.800000,-0.529000,-0.323000,0.117000,cross
19.705000,34.020000,-11.182000,-13.900000,-34.300000,-61.900000,-0.536000,-0.357000,0.121000,cross
20.667000,32.235000,-4.042000,-14.800000,-34.500000,-62.400000,-0.560000,-0.373000,0.091000,cross
20.072000,29.190000,0.770000,-15.100000,-33.700000,-61.200000,-0.585000,-0.361000,0.042000,cross
13.160000,22.067000,3.762000,-14.700000,-35.200000,-61.900000,-0.556000,-0.352000,-0.026000,cross
5.932000,18.987000,4.602000,-15.400000,-34.900000,-62.200000,-0.536000,-0.336000,-0.070000,cross
-1.400000,15.680000,3.640000,-14.800000,-34.500000,-60.900000,-0.519000,-0.299000,-0.123000,cross
-7.315000,11.935000,2.047000,-14.700000,-34.900000,-60.900000,-0.481000,-0.279000,-0.169000,cross
-10.062000,7.122000,2.677000,-14.800000,-35.100000,-61.200000,-0.440000,-0.285000,-0.221000,cross
-7.332000,0.665000,7.175000,-15.400000,-35.500000,-61.500000,-0.411000,-0.317000,-0.266000,cross
-0.875000,-7.840000,13.947000,-14.100000,-35.700000,-61.500000,-0.408000,-0.284000,-0.314000,cross
12.617000,-28.717000,21.542000,-14.800000,-35.100000,-61.800000,-0.435000,-0.205000,-0.289000,cross
18.690000,-37.292000,22.575000,-14.500000,-35.400000,-61.300000,-0.442000,-0.208000,-0.233000,cross
23.555000,-44.117000,24.465000,-14.500000,-35.800000,-62.100000,-0.446000,-0.221000,-0.164000,cross
26.600000,-49.105000,26.967000,-13.600000,-34.500000,-61.800000,-0.460000,-0.181000,-0.089000,cross
