@relation 'MLC'

@attribute F1_MEAN_ACC_Y numeric
@attribute F2_PEAK_TO_PEAK_GYR_Y numeric
@attribute F3_MAXIMUM_ACC_X numeric
@attribute F4_MINIMUM_GYR_Z numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_ENERGY_ACC_Z numeric
@attribute F7_MEAN_ACC_Z numeric
@attribute F8_MAXIMUM_ACC_Y numeric
@attribute F9_PEAK_TO_PEAK_ACC_Y numeric
@attribute F10_MAXIMUM_GYR_Z numeric
@attribute F11_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F12_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F13_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F14_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F15_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F16_MAXIMUM_ACC_X_FILTER_1 numeric
@attribute F17_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F18_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F19_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F20_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute F21_MAXIMUM_ACC_Z_FILTER_1 numeric
@attribute F22_PEAK_TO_PEAK_ACC_Y_FILTER_1 numeric
@attribute F23_PEAK_TO_PEAK_ACC_X_FILTER_1 numeric
@attribute F24_MINIMUM_ACC_X_FILTER_1 numeric
@attribute F25_MINIMUM_ACC_Y_FILTER_1 numeric
@attribute class {waving, walking, wrist}

@data
-0.115112, 0.758789, -0.508301, -2.98242, -0.897461, 0.761719, -0.00280571, 0.803711, 1.64746, -0.713867, 0.124268, 0.5, 0.273438, -0.14917, -0.377441, 0.124268, 0.5, 0.273438, -0.377441, -0.377441, 0.19397, 0.5, 0.273438, -0.14917, -0.377441, waving
-0.603027, 0.687012, -0.462402, -2.07813, -0.877441, 0.870117, -0.0479126, 0.383301, 1.76465, 2.35938, 0.128662, 0.822754, 0.252197, -0.123535, -0.499023, 0.128662, 0.822754, 0.252197, -0.499023, -0.499023, 0.168579, 0.822754, 0.252197, -0.123535, -0.499023, waving
0.906738, 0.919922, -0.155151, -1.26563, -0.876465, 0.751953, 0.00521851, 1.64551, 1.29785, 2.18555, 0.170166, 0.65918, 0.216797, -0.0465698, -0.288086, 0.170166, 0.65918, 0.216797, -0.288086, -0.288086, 0.125, 0.65918, 0.216797, -0.0465698, -0.288086, waving
0.407227, 0.599609, -0.260254, -2.39453, -0.966797, 0.266602, -0.0123901, 1.04199, 1.53418, -0.790039, 0.0847168, 0.447266, 0.26123, -0.176514, -0.381348, 0.0847168, 0.447266, 0.26123, -0.381348, -0.381348, 0.0888672, 0.447266, 0.26123, -0.176514, -0.381348, waving
-0.544922, 0.89502, -0.810547, -1.91504, -0.885742, 1.85059, 0.132202, -0.41333, 0.446045, 0.322266, 0.0706787, 0.609375, 0.0979004, -0.0272217, -0.417725, 0.0706787, 0.609375, 0.0979004, -0.417725, -0.417725, 0.23999, 0.609375, 0.0979004, -0.0272217, -0.417725, waving
-0.495117, 0.776367, -0.816406, -0.421143, -0.913574, 1.54102, 0.127075, -0.393311, 0.594727, 0.287109, 0.0430908, 0.389893, 0.0704346, -0.0273438, -0.34082, 0.0430908, 0.389893, 0.0704346, -0.34082, -0.34082, 0.0898438, 0.389893, 0.0704346, -0.0273438, -0.34082, waving
0.105835, 1.53418, -0.461182, 0.765137, -0.901367, 1.05371, -0.0163422, 0.92041, 1.93457, 2.95313, 0.10907, 0.739258, 0.156616, -0.0474854, -0.366211, 0.10907, 0.739258, 0.156616, -0.366211, -0.366211, 0.2229, 0.739258, 0.156616, -0.0474854, -0.366211, waving
0.969238, 0.939941, -0.00598145, -2.83203, -0.797363, 0.835449, -0.0301361, 1.60938, 1.26563, 2.2207, 0.163208, 0.611816, 0.344482, -0.181274, -0.264404, 0.163208, 0.611816, 0.344482, -0.264404, -0.264404, 0.139404, 0.611816, 0.344482, -0.181274, -0.264404, waving
-0.54541, 0.394775, -0.608398, -2.52148, -0.838379, 0.315186, 0.0014019, 0.385254, 1.49121, 2.42383, 0.0738525, 0.592773, 0.209717, -0.135864, -0.348389, 0.0738525, 0.592773, 0.209717, -0.348389, -0.348389, 0.11554, 0.592773, 0.209717, -0.135864, -0.348389, waving
0.418213, 1.37109, -0.1521, 0.969238, -0.873535, 0.955078, 0.041626, 1.51758, 2.08594, 2.81445, 0.208496, 0.501465, 0.316162, -0.107666, -0.000976563, 0.208496, 0.501465, 0.316162, -0.000976563, -0.000976563, 0.18689, 0.501465, 0.316162, -0.107666, -0.000976563, waving
0.826172, 1.29102, -0.102051, -1.94238, -0.878418, 1.28223, -0.0484924, 1.42871, 1.22363, 0.791504, 0.168213, 0.63916, 0.314941, -0.146729, -0.180176, 0.168213, 0.63916, 0.314941, -0.180176, -0.180176, 0.0861816, 0.63916, 0.314941, -0.146729, -0.180176, waving
-0.587402, 0.591309, -0.598145, -3.60938, -0.892578, 1.06934, 0.00373077, 0.18811, 1.375, 2.10547, 0.129639, 0.786621, 0.191284, -0.0616455, -0.607422, 0.129639, 0.786621, 0.191284, -0.607422, -0.607422, 0.109863, 0.786621, 0.191284, -0.0616455, -0.607422, waving
0.555176, 0.699219, -0.108032, -0.2146, -0.855469, 1.12793, -0.0129547, 1.48926, 1.98242, 2.54102, 0.152832, 0.196655, 0.224365, -0.0715332, 0.114136, 0.152832, 0.196655, 0.224365, 0.114136, 0.114136, 0.0803223, 0.196655, 0.224365, -0.0715332, 0.114136, waving
0.633789, 0.533203, -0.112061, -2.20703, -0.942383, 1.22949, -0.0070343, 1.33105, 1.21289, -0.300537, 0.0838013, 0.391846, 0.244019, -0.160156, -0.306885, 0.0838013, 0.391846, 0.244019, -0.306885, -0.306885, 0.149292, 0.391846, 0.244019, -0.160156, -0.306885, waving
-0.678711, 0.379883, -0.540527, -2.17969, -0.911621, 1.58691, 0.103271, 0.0750732, 1.24219, 2.30078, 0.0935059, 0.59375, 0.161743, -0.0682373, -0.343506, 0.0935059, 0.59375, 0.161743, -0.343506, -0.343506, 0.11322, 0.59375, 0.161743, -0.0682373, -0.343506, waving
0.395752, 0.384033, -0.419189, 1.23242, -0.876465, 0.44165, 0.0508423, 0.897461, 1.40039, 2.54297, 0.100952, 0.300781, 0.192261, -0.0913086, -0.00292969, 0.100952, 0.300781, 0.192261, -0.00292969, -0.00292969, 0.0697021, 0.300781, 0.192261, -0.0913086, -0.00292969, waving
1.00488, 1.29102, 0.0400391, -2.02539, -0.724609, 0.344727, -0.00252914, 1.42773, 0.882324, 1.55957, 0.175293, 0.490234, 0.354492, -0.179199, -0.202148, 0.175293, 0.490234, 0.354492, -0.202148, -0.202148, 0.0744629, 0.490234, 0.354492, -0.179199, -0.202148, waving
-0.295654, 0.408936, -0.461182, -3.79102, -0.909668, 3.4043, 0.033844, 0.568359, 1.89551, 0.793457, 0.216919, 0.709961, 0.354492, -0.137573, -0.597168, 0.216919, 0.709961, 0.354492, -0.597168, -0.597168, 0.124084, 0.709961, 0.354492, -0.137573, -0.597168, waving
-0.179321, 0.418701, -0.508301, 0.851074, -0.899414, 1.30469, -0.0220032, 0.705566, 1.6377, 2.65234, 0.0550537, 0.268799, 0.15686, -0.101807, 0.0294189, 0.0550537, 0.268799, 0.15686, 0.0294189, 0.0294189, 0.110229, 0.268799, 0.15686, -0.101807, 0.0294189, waving
0.992676, 1.05957, -0.249146, -1.58008, -0.70459, 1.83398, 0.093689, 1.48242, 0.836914, 1.52246, 0.146729, 0.581543, 0.253174, -0.106323, -0.213135, 0.146729, 0.581543, 0.253174, -0.213135, -0.213135, 0.188477, 0.581543, 0.253174, -0.106323, -0.213135, waving
0.164063, 0.496338, -0.54248, -1.76758, -0.896484, 3.65625, 0.183105, 0.712402, 1.33008, -1.13672, 0.0480957, 0.197632, 0.177002, -0.128906, -0.250244, 0.0480957, 0.197632, 0.177002, -0.250244, -0.250244, 0.10321, 0.197632, 0.177002, -0.128906, -0.250244, waving
-0.537598, 0.355957, -0.733398, -1.40234, -0.894531, 3.6543, 0.187012, 0.0469971, 0.876465, 1.87207, 0.0568848, 0.483643, 0.11438, -0.0574951, -0.263428, 0.0568848, 0.483643, 0.11438, -0.263428, -0.263428, 0.0838623, 0.483643, 0.11438, -0.0574951, -0.263428, waving
